排名,电影名,评分,评论数,上映时间
118,灿烂人生,9.4,75898,2003-05-20
119,莫娣,9.1,145072,2016-09-02
120,东京物语,9.1,145022,1953-11-03
121,喜剧之王,8.8,1016180,1999-02-13
122,悲情城市,9.0,114689,1989-09-12
123,重庆森林,8.8,855779,1994-07-14
124,绿里奇迹,8.9,353900,1999-12-10
125,寄生虫,8.8,1441348,2019-05-21
126,你看起来好像很好吃,8.9,349188,2010-10-16
127,看不见的客人,8.8,1339131,2017-09-15
128,卢旺达饭店,8.9,345616,2004-09-11
129,花样年华,8.8,649207,2000-05-20
130,阳光灿烂的日子,8.8,644365,1995-08-21
131,心迷宫,8.8,560472,2015-10-16
132,七宗罪,8.8,983505,1995-09-22
133,无间道2,8.8,514691,2003-10-17
134,纵横四海,8.8,446428,1991-02-02
135,末路狂花,8.9,289404,1991-05-24
136,请以你的名字呼唤我,8.8,763779,2017-01-22
137,黑镜：圣诞特别篇,9.1,128625,2014-12-16
138,断背山,8.8,735547,2005-09-02
139,被嫌弃的松子的一生,8.8,732610,2006-05-27
140,奥本海默,8.8,728480,2023-08-30
141,爱在黎明破晓前,8.8,726212,1995-01-27
142,告白,8.8,698751,2010-06-05
143,模仿游戏,8.8,678564,2015-07-21
144,被解救的姜戈,8.8,641544,2013-05-12
145,我爱你,9.0,170278,2011-02-17
146,盲井,8.9,146523,2003-02-12
147,阳光姐妹淘,8.8,608332,2011-05-04
148,幸福终点站,8.8,600107,2005-01-14
149,大鱼,8.8,592197,2003-12-04
150,大红灯笼高高挂,8.8,311524,1991-09-10
151,机器人之梦,9.0,156740,2024-06-08
152,隐藏人物,8.9,235138,2016-12-25
153,海街日记,8.8,476045,2015-05-14
154,达拉斯买家俱乐部,8.8,474608,2013-09-07
155,荒蛮故事,8.8,464989,2014-05-17
156,枪火,8.8,237100,1999-11-19
157,偷自行车的人,9.1,111672,1948-11-24
158,遥望南方的童年,9.3,41753,2007
159,地球上的星星,8.9,208511,2007-12-21
160,房间,8.8,381233,2015-09-04
161,东邪西毒：终极版,8.8,209595,2009-03-26
162,色，戒,8.7,872411,2007-11-01
163,恐怖分子,9.0,76826,1986-12-19
164,变脸,9.1,58768,1995-06-09
165,赛德克·巴莱,8.8,189519,2012-05-10
166,盲山,8.8,189229,2007-05-20
167,九品芝麻官,8.7,725313,1994-03-31
168,天堂回信,9.2,47599,1992-02-01
169,赛德克·巴莱(上)：太阳旗,8.9,107376,2011-09-01
170,罗生门,8.8,332052,1950-08-26
171,大独裁者,9.2,85114,1940-10-15
172,剪刀手爱德华,8.7,1071073,1990-12-06
173,岁月神偷,8.7,590279,2010-04-16
174,千钧一发,8.8,319638,1997-10-24
175,小丑,8.7,1056728,2019-08-31
176,消失的爱人,8.7,1004654,2014-09-26
177,天使爱美丽,8.7,980467,2001-04-25
178,大佛普拉斯,8.7,501267,2017-06-29
179,三块广告牌,8.7,860374,2018-03-02
180,沉静如海,9.1,100698,2004-10-25
181,小偷家族,8.7,848247,2018-08-03
182,傲慢与偏见,8.7,847340,2005-09-16
183,步履不停,8.8,295482,2008-06-28
184,血战钢锯岭,8.7,812470,2016-12-08
185,魂断蓝桥,8.8,291760,1940-05-17
186,千年女优,8.8,289047,2001-07-28
187,赛德克·巴莱(下)：彩虹桥,8.9,96171,2011-09-01
188,恐怖直播,8.7,684341,2013-07-31
189,聚焦,8.8,270387,2015-09-03
190,过年,9.0,68594,1991-02-12
191,爱尔兰人,8.8,269650,2019-09-27
192,勇士,8.9,167277,2011-09-09
193,记忆碎片,8.7,630534,2000-09-05
194,爆裂鼓手,8.7,619977,2014-01-16
195,一次别离,8.8,253696,2012-11-13
196,那山那人那狗,8.8,133460,2001-04-07
197,无耻混蛋,8.7,507303,2009-05-20
198,百万美元宝贝,8.8,239315,2004-12-15
199,遗愿清单,8.7,491921,2007-12-25
200,人工智能,8.7,467931,2001-06-29
201,爱·回家,9.1,91073,2002-04-05
202,我们俩,8.8,122148,2006-04-10
203,雨人,8.7,420091,1988-12-16
204,比海更深,8.8,217154,2016-05-18
205,萤火虫之墓,8.7,418339,1988-04-16
206,血钻,8.7,397592,2006-12-08
207,战争之王,8.7,387631,2005-09-16
208,梦之安魂曲,8.8,205647,2000-05-14
209,悲惨世界,8.7,348710,2013-02-28
210,地下,9.2,71185,1995-04-01
211,首尔之春,8.8,190747,2023-11-22
212,弱点,8.7,329807,2009-11-20
213,坠落的审判,8.7,319486,2024-03-29
214,东邪西毒,8.6,599706,1994-09-17
215,奇迹男孩,8.6,571438,2018-01-19
216,英雄本色,8.6,567316,2017-11-17
217,青蛇,8.6,552127,1993-11-04
218,燃情岁月,8.7,299582,1994-12-16
219,横道世之介,8.8,179015,2013-02-23
220,四百击,8.9,126149,1959-05-04
221,黑天鹅,8.6,807253,2010-09-01
222,相助,8.9,125470,2011-08-10
223,贫民窟的百万富翁,8.6,771353,2009-03-26
224,浪潮,8.7,282521,2008-03-13
225,谁先爱上他的,8.6,412402,2018-04-22
226,花束般的恋爱,8.6,699757,2022-02-22
227,阳光普照,8.6,377847,2019-09-06
228,共同警备区,8.9,121700,2000-09-09
229,童年往事,8.9,67305,1985-08-03
230,波西米亚狂想曲,8.6,641234,2019-03-22
231,海边的曼彻斯特,8.6,587651,2017-08-25
232,影武者,9.1,76493,1980-04-26
233,白日梦想家,8.6,547621,2013-12-25
234,刺猬的优雅,8.8,157890,2009-07-03
235,廊桥遗梦,8.7,240812,1995-06-02
236,帝国的毁灭,8.9,115261,2004-09-08
237,洛城机密,8.8,154975,1997-09-19
238,伴我同行,8.9,114283,1986-08-08
239,卡萨布兰卡,8.7,229801,1943-07-07
240,暗战,8.6,260684,1999-09-23
241,燃烧女子的肖像,8.7,227633,2019-05-19
